term_name,Group,QC
angiogenin-PRI complex,receptor related process,0.502
angiostatin binding,metabolic process,0.214
angiotensin maturation,morphogenesis/development,0.218
angiotensin receptor activity,receptor related process,0.588
angiotensin receptor binding,receptor related process,0.458
angiotensin type I receptor activity,receptor related process,0.402
angiotensin type II receptor activity,receptor related process,0.336
angiotensin-activated signaling pathway,receptor related process,0.71
angiotensin-activated signaling pathway involved in heart process,receptor related process,0.468
angiotensin-mediated drinking behavior,cellular component organization,0.23
angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure,cellular component organization,0.206
angiotensin-mediated vasodilation involved in regulation of systemic arterial blood pressure,multicellular organismal process,0.212
animal organ development,morphogenesis/development,0.458
animal organ maturation,morphogenesis/development,0.736
animal organ regeneration,morphogenesis/development,0.806
ankyrin binding,cellular component organization,0.318
ankyrin repeat binding,protein modification/signaling,0.232
annulate lamellae,cellular component organization,0.38
anterior commissure morphogenesis,neural related process,0.346
anterior compartment pattern formation,morphogenesis/development,0.212
anterior head development,morphogenesis/development,0.98
anterior mesonephric tubule development,morphogenesis/development,0.838
anterior neural tube closure,morphogenesis/development,0.34
anterior semicircular canal development,morphogenesis/development,0.504
anterior visceral endoderm cell migration,transport,0.188
anterior/posterior axis specification,morphogenesis/development,0.44
"anterior/posterior axis specification, embryo",multicellular organismal process,0.31
anterior/posterior axon guidance,neural related process,0.406
anterior/posterior pattern specification involved in kidney development,morphogenesis/development,0.61
anterograde axonal protein transport,transport,0.706
anterograde axonal transport,transport,0.77
anterograde axonal transport of mitochondrion,transport,0.4
anterograde axonal transport of neurotransmitter receptor complex,transport,0.332
anterograde dendritic transport,transport,0.788
anterograde dendritic transport of messenger ribonucleoprotein complex,transport,0.412
anterograde dendritic transport of mitochondrion,transport,0.416
anterograde dendritic transport of neurotransmitter receptor complex,transport,0.354
anterograde neuronal dense core vesicle transport,transport,0.326
anterograde synaptic vesicle transport,transport,0.342
anterograde trans-synaptic signaling,neural related process,0.766
anthranilate metabolic process,metabolic process,0.984
anti-Mullerian hormone receptor activity,cellular component organization,0.196
anti-Mullerian hormone signaling pathway,receptor related process,0.626
antibacterial humoral response,immune system process,0.774
antibacterial innate immune response,immune system process,0.282
antibacterial peptide biosynthetic process,metabolic process,0.862
antibacterial peptide production,immune system process,0.592
antibiotic metabolic process,metabolic process,0.95
antibody-dependent cellular cytotoxicity,immune system process,0.346
antifungal humoral response,immune system process,0.33
antifungal innate immune response,immune system process,0.316
antigen binding,immune system process,0.502
antigen processing and presentation following phagocytosis,immune system process,0.35
antigen processing and presentation of endogenous antigen,immune system process,0.892
antigen processing and presentation of endogenous peptide antigen via MHC class I,immune system process,0.844
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway,immune system process,0.792
"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent",immune system process,0.362
"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",immune system process,0.406
antigen processing and presentation of endogenous peptide antigen via MHC class II,immune system process,0.292
antigen processing and presentation of endogenous peptide antigen via MHC class Ib,immune system process,0.718
antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway,immune system process,0.596
"antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent",immune system process,0.3
antigen processing and presentation of exogenous antigen,immune system process,0.886
antigen processing and presentation of exogenous peptide antigen via MHC class I,immune system process,0.776
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",immune system process,0.244
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent",immune system process,0.254
antigen processing and presentation of exogenous peptide antigen via MHC class II,immune system process,0.454
antigen processing and presentation of exogenous peptide antigen via MHC class Ib,immune system process,0.664
"antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent",immune system process,0.3
antigen processing and presentation of lipid antigen via MHC class Ib,immune system process,0.6
antigen processing and presentation of peptide antigen via MHC class II,immune system process,0.848
antigen processing and presentation of peptide antigen via MHC class Ib,immune system process,0.836
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,immune system process,0.828
antigen processing and presentation of polysaccharide antigen via MHC class II,immune system process,0.256
antigen processing and presentation via MHC class Ib,immune system process,0.764
"antigen processing and presentation, endogenous lipid antigen via MHC class Ib",immune system process,0.28
"antigen processing and presentation, exogenous lipid antigen via MHC class Ib",immune system process,0.278
antigen sampling by M cells in mucosal-associated lymphoid tissue,cellular component organization,0.224
antigen sampling in mucosal-associated lymphoid tissue,immune system process,0.52
antigen transcytosis by M cells in mucosal-associated lymphoid tissue,transport,0.284
antimicrobial peptide biosynthetic process,metabolic process,0.868
antimicrobial peptide production,immune system process,0.574
antioxidant activity,metabolic process,0.516
antiporter activity,transport,0.61
antisense RNA metabolic process,metabolic process,0.686
antisense RNA transcript catabolic process,metabolic process,0.624
antral ovarian follicle growth,morphogenesis/development,0.198
aorta morphogenesis,morphogenesis/development,0.914
aorta smooth muscle tissue morphogenesis,morphogenesis/development,0.508
aortic smooth muscle cell differentiation,morphogenesis/development,0.656
aortic valve formation,morphogenesis/development,0.664
aortic valve morphogenesis,morphogenesis/development,0.69
apelin receptor activity,morphogenesis/development,0.172
apelin receptor binding,receptor related process,0.49
apelin receptor signaling pathway,receptor related process,0.648
apical constriction,cellular component organization,0.182
apical cortex,cellular component organization,0.504
apical cytoplasm,cellular component organization,0.228
apical dendrite,cellular component organization,0.376
apical distal dendrite,neural related process,0.378
apical junction assembly,cellular component organization,0.438
apical plasma membrane,cellular component organization,0.518
apical plasma membrane urothelial plaque,cellular component organization,0.3
apical pole of neuron,neural related process,0.354
apical protein localization,transport,0.226
apical tubulobulbar complex,morphogenesis/development,0.26
apicolateral plasma membrane,cellular component organization,0.35
apolipoprotein A-I binding,metabolic process,0.258
apolipoprotein A-I receptor activity,receptor related process,0.36
apolipoprotein A-I receptor binding,receptor related process,0.492
apolipoprotein A-I-mediated signaling pathway,receptor related process,0.566
apolipoprotein B mRNA editing enzyme complex,protein modification/signaling,0.286
apolipoprotein binding,protein modification/signaling,0.354
apolipoprotein receptor activity,receptor related process,0.362
apolipoprotein receptor binding,receptor related process,0.546
apoptosome,cell death,0.368
apoptosome assembly,cell death,0.438
apoptotic DNA fragmentation,cell death,0.368
apoptotic chromosome condensation,cellular component organization,0.242
apoptotic nuclear changes,cell death,0.4
apoptotic process,cell death,0.858
apoptotic process in bone marrow cell,cell death,0.646
apoptotic process in response to mitochondrial fragmentation,cell death,0.232
apoptotic process involved in blood vessel morphogenesis,cell death,0.546
apoptotic process involved in embryonic digit morphogenesis,cell death,0.566
apoptotic process involved in heart morphogenesis,cell death,0.746
apoptotic process involved in luteolysis,cell death,0.64
apoptotic process involved in mammary gland involution,cell death,0.782
apoptotic process involved in metanephric collecting duct development,cell death,0.22
apoptotic process involved in metanephric nephron tubule development,cell death,0.22
apoptotic process involved in morphogenesis,cell death,0.666
apoptotic process involved in outflow tract morphogenesis,cell death,0.536
appendage development,morphogenesis/development,0.966
appendage morphogenesis,morphogenesis/development,0.89
arabinose metabolic process,metabolic process,0.878
arachidonate 12(R)-lipoxygenase activity,metabolic process,0.892
arachidonate 12(S)-lipoxygenase activity,metabolic process,0.858
arachidonate 15-lipoxygenase activity,metabolic process,0.876
arachidonate 5-lipoxygenase activity,metabolic process,0.894
arachidonate 8(R)-lipoxygenase activity,metabolic process,0.892
